step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
55,0,2729,2729,1,44695848,24.420,3.112,65.098,8.186,56.731,0.048,71.009,6.681,139.269,179.668
56,0,2729,2729,1,44695848,2.983,3.123,64.093,63.800,58.546,0.039,71.160,8.240,138.416,160.813
57,0,2729,2729,1,44695848,24.305,3.090,65.694,8.254,57.254,0.044,71.069,7.944,139.899,181.930
58,0,2729,2729,1,44695848,2.979,3.102,64.661,8.164,56.360,0.040,71.161,8.180,138.966,160.840
59,0,2729,2729,1,44695848,2.674,2.757,65.277,7.767,57.160,0.041,47.360,3.092,115.437,126.521
60,0,2729,2729,1,44695848,2.689,2.780,64.749,64.396,56.360,0.056,49.003,2.785,116.591,127.042
61,0,2729,2729,1,44695848,2.975,2.991,64.479,7.881,56.266,0.041,69.251,6.818,136.764,156.293
62,0,2729,2729,1,44695848,2.625,2.783,64.306,63.999,58.742,0.052,19.695,3.361,86.838,97.897
63,0,2729,2729,1,44695848,2.652,2.743,64.936,8.178,56.396,0.053,73.323,7.010,141.057,160.933
64,0,2729,2729,1,44695848,2.661,2.751,65.178,64.885,57.571,0.046,70.008,6.728,137.984,157.072
65,0,2729,2729,1,44695848,2.650,2.748,64.213,63.912,56.574,0.043,50.601,2.821,117.606,128.475
66,0,2729,2729,1,44695848,23.826,2.756,64.646,8.027,56.405,0.044,72.092,7.592,139.540,180.749
67,0,2729,2729,1,44695848,23.734,2.779,65.319,7.876,57.090,0.052,72.807,7.640,140.961,181.888
68,0,2729,2729,1,44695848,2.983,3.084,64.655,7.877,56.446,0.040,71.645,7.841,139.427,160.794
69,0,2729,2729,1,44695848,2.979,3.091,64.436,64.154,55.946,0.040,71.266,8.690,138.835,160.983
70,0,2729,2729,1,44695848,2.974,3.120,64.800,7.808,56.600,0.041,71.141,8.456,139.105,161.062
71,0,2729,2729,1,44695848,2.612,2.812,64.646,8.403,56.072,0.051,46.798,3.542,114.310,125.760
72,0,2729,2729,1,44695848,2.957,3.137,64.582,8.109,56.309,0.049,48.536,2.822,116.306,127.290
73,0,2729,2729,1,44695848,2.623,2.799,64.817,8.408,56.269,0.045,49.242,2.772,116.905,127.263
74,0,2729,2729,1,44695848,2.982,3.032,64.815,8.066,56.574,0.051,70.693,8.119,138.593,160.303
75,0,2729,2729,1,44695848,2.972,3.002,64.364,8.001,56.235,0.042,70.166,7.055,137.575,157.511
76,0,2729,2729,1,44695848,2.628,2.806,64.892,8.359,56.390,0.041,46.417,3.363,114.157,125.558
77,0,2729,2729,1,44695848,2.959,3.051,64.528,8.161,56.241,0.041,70.139,8.984,137.760,160.630
