step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2675,3,44695848,24.351,3.226,94.252,93.858,85.485,1.257,71.551,8.874,170.287,212.990
1,0,2729,2676,3,44695848,24.595,3.243,143.637,143.304,135.636,1.230,71.061,8.868,219.172,262.141
2,0,2729,2676,3,44695848,24.613,4.380,77.634,77.275,69.411,1.213,71.066,8.845,154.295,197.002
3,0,2729,2675,3,44695848,2.793,3.030,139.177,138.834,131.093,1.186,69.400,10.860,212.794,236.678
4,0,2729,2679,3,44695848,2.989,3.890,65.283,35.300,56.786,1.234,45.950,3.056,116.360,127.454
5,0,2729,2689,3,44695848,24.748,3.071,64.026,63.751,55.931,1.166,70.684,8.088,138.949,181.572
6,0,2729,2676,3,44695848,3.010,3.292,423.527,423.194,415.053,1.368,70.762,9.718,498.952,521.563
7,0,2729,2676,3,44695848,2.739,3.080,370.164,369.797,361.635,1.521,68.104,7.416,442.873,462.460
8,0,2729,2675,3,44695848,2.751,3.157,762.298,761.950,754.196,1.617,47.368,3.074,814.442,825.279
9,0,2729,2675,3,44695848,2.740,3.032,631.332,631.019,623.226,1.159,39.495,3.348,675.020,685.836
10,0,2729,2675,3,44695848,2.802,3.115,404.869,404.512,396.552,1.221,69.931,10.192,479.138,502.236
11,0,2729,2675,3,44695848,2.751,3.992,908.346,907.958,900.130,1.644,16.529,3.137,930.513,941.340
12,0,2729,2675,3,44695848,2.736,3.126,748.718,748.391,740.642,1.157,70.192,9.792,823.195,845.340
13,0,2729,2675,3,44695848,2.718,3.056,635.013,634.635,627.030,1.551,45.692,3.035,685.314,696.102
14,0,2729,2675,3,44695848,2.742,3.112,462.458,462.101,453.953,1.554,48.288,3.005,515.414,526.216
15,0,2729,2675,3,44695848,2.751,3.069,548.053,547.691,539.882,1.584,47.468,3.006,600.176,610.903
16,0,2729,2675,3,44695848,2.924,3.315,316.069,315.757,307.713,1.523,69.507,10.559,390.416,414.270
17,0,2729,2675,3,44695848,2.755,3.059,745.126,715.293,737.149,1.128,19.304,3.019,768.618,779.474
18,0,2729,2675,3,44695848,23.496,3.093,384.938,384.574,376.926,1.356,70.552,9.349,459.941,502.399
19,0,2729,2676,3,44695848,2.728,3.064,510.821,510.459,502.559,1.263,69.538,8.451,584.688,605.739
20,0,2729,2676,3,44695848,23.230,3.066,556.837,556.478,548.679,1.171,71.581,9.021,632.657,674.821
21,0,2729,2676,3,44695848,2.902,3.068,484.152,483.796,475.998,1.335,46.841,3.363,535.398,546.845
22,0,2729,2676,3,44695848,2.705,3.045,510.553,510.183,502.445,1.190,69.236,10.434,584.026,607.742
23,0,2729,2675,3,44695848,23.304,3.035,220.284,219.974,212.102,1.243,70.647,9.999,295.211,339.092
24,0,2729,2676,3,44695848,2.752,3.053,380.268,379.952,371.916,1.459,69.733,10.801,454.516,478.540
25,0,2729,2675,3,44695848,2.737,2.999,587.487,587.148,579.475,1.298,70.550,9.242,662.335,684.256
26,0,2729,2676,3,44695848,2.869,3.259,502.634,502.275,494.287,1.475,70.929,10.370,578.300,601.423
27,0,2729,2676,3,44695848,2.977,3.201,556.799,556.493,548.759,1.558,70.573,9.174,632.132,653.993
28,0,2729,2675,3,44695848,2.911,3.272,414.679,385.510,406.661,1.127,47.226,3.064,466.307,477.295
29,0,2729,2675,3,44695848,23.241,3.049,168.800,168.481,160.850,1.192,70.724,9.191,243.767,286.097
30,0,2729,2675,3,44695848,23.495,3.093,616.027,615.716,607.673,1.424,71.721,8.976,692.268,734.427
31,0,2729,2675,3,44695848,2.967,3.142,305.802,305.448,297.367,1.247,70.475,9.799,380.669,403.231
32,0,2729,2675,3,44695848,2.693,2.962,402.702,402.383,394.524,1.152,49.448,3.509,456.266,467.690
33,0,2729,2675,3,44695848,2.720,3.004,272.304,272.000,263.979,1.407,69.606,9.854,346.323,368.647
34,0,2729,2675,3,44695848,2.774,3.066,542.834,542.490,536.497,1.610,22.266,2.929,569.778,580.502
35,0,2729,2675,3,44695848,2.995,3.347,460.384,460.082,451.840,1.536,70.090,9.785,535.359,557.879
36,0,2729,2675,3,44695848,23.203,3.075,513.372,513.045,505.197,1.255,69.635,7.292,587.340,627.442
37,0,2729,2675,3,44695848,2.702,2.931,332.009,331.678,323.736,1.165,70.708,9.816,406.816,429.471
38,0,2729,2682,3,44695848,2.693,3.122,64.868,64.576,57.006,1.175,70.770,6.682,139.938,158.998
39,0,2729,2675,3,44695848,2.668,2.967,505.170,504.806,497.112,1.447,19.865,2.912,529.451,540.268
40,0,2729,2675,3,44695848,2.785,3.186,129.024,128.690,122.940,1.211,69.064,8.337,202.487,223.088
41,0,2729,2675,3,44695848,24.764,3.269,93.678,93.342,85.303,1.208,70.871,9.716,169.027,214.173
42,0,2729,2677,3,44695848,3.514,4.586,65.206,64.879,56.667,1.188,68.751,8.127,139.734,161.067
43,0,2729,2675,3,44695848,2.740,3.087,144.054,143.775,135.988,1.187,69.907,10.138,218.236,241.522
44,0,2729,2676,3,44695848,2.719,2.945,207.548,207.194,199.541,1.492,70.364,9.770,282.351,304.755
45,0,2729,2676,3,44695848,2.723,2.880,411.461,411.200,403.644,1.244,45.419,3.458,461.007,472.217
46,0,2729,2676,3,44695848,2.755,2.977,370.048,369.731,361.850,1.559,46.787,3.026,421.372,432.160
47,0,2729,2675,3,44695848,2.705,2.919,432.203,431.896,424.124,1.267,70.002,9.643,506.394,528.432
