step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
55,0,2729,2685,3,44695848,24.100,3.334,65.550,8.446,56.892,1.142,68.649,6.908,138.676,179.692
56,0,2729,2688,3,44695848,24.271,3.409,64.327,34.743,58.854,1.144,71.066,6.901,139.948,180.976
57,0,2729,2690,3,44695848,24.169,3.337,65.731,8.152,57.431,1.148,68.903,6.963,139.120,180.330
58,0,2729,2680,3,44695848,2.949,3.426,64.452,64.171,58.892,1.101,69.565,6.909,138.546,158.899
59,0,2729,2675,3,44695848,23.876,3.025,65.093,8.063,56.668,1.281,68.812,6.937,138.214,178.621
60,0,2729,2675,3,44695848,24.665,3.391,138.572,138.267,130.107,1.249,68.650,8.308,211.865,254.619
61,0,2729,2679,3,44695848,23.563,2.992,64.081,8.184,55.762,1.285,70.781,6.926,139.140,179.586
62,0,2729,2675,3,44695848,2.949,3.356,183.471,183.124,175.220,1.187,68.497,8.237,256.513,278.168
63,0,2729,2675,3,44695848,23.537,3.028,65.234,8.184,56.873,1.177,68.683,6.938,138.125,178.545
64,0,2729,2675,3,44695848,2.583,3.049,195.800,195.474,187.506,1.154,69.371,8.107,269.377,290.146
65,0,2729,2675,3,44695848,2.598,3.024,167.247,166.926,158.979,1.183,45.520,2.717,216.976,227.638
66,0,2729,2675,3,44695848,2.616,3.093,88.193,87.864,80.005,1.169,68.884,8.222,161.341,182.160
67,0,2729,2677,3,44695848,24.559,3.367,65.898,8.225,57.335,1.142,68.880,6.943,139.289,180.761
68,0,2729,2675,3,44695848,2.588,3.096,191.109,190.786,182.644,1.176,68.965,8.332,264.348,285.087
69,0,2729,2682,3,44695848,23.670,3.017,64.446,7.961,56.323,1.148,68.838,6.947,137.451,177.885
70,0,2729,2675,3,44695848,2.623,3.093,102.931,102.650,94.615,1.258,69.183,8.260,176.468,197.171
71,0,2729,2676,3,44695848,2.594,3.043,368.537,368.216,360.191,1.262,69.305,8.313,442.149,462.914
72,0,2729,2676,3,44695848,24.223,3.383,66.056,65.744,58.113,1.160,71.052,6.969,141.653,182.684
73,0,2729,2675,3,44695848,2.626,3.054,132.032,131.660,123.933,1.183,45.239,2.717,181.510,192.158
74,0,2729,2675,3,44695848,23.450,3.087,192.024,191.688,183.536,1.201,69.355,8.081,265.670,307.316
75,0,2729,2675,3,44695848,2.621,2.999,288.744,288.435,280.096,1.250,69.075,8.280,362.071,382.920
76,0,2729,2675,3,44695848,2.586,3.067,387.517,387.164,379.286,1.153,45.275,2.759,437.015,447.672
77,0,2729,2675,3,44695848,23.421,3.012,275.137,245.696,267.279,2.043,69.158,8.205,349.353,390.748
78,0,2729,2676,3,44695848,2.619,3.115,352.831,352.493,344.289,1.203,68.876,8.300,426.027,446.913
79,0,2729,2678,3,44695848,24.087,3.370,65.175,8.002,57.033,1.142,68.892,6.974,138.580,179.348
80,0,2729,2678,3,44695848,24.294,3.102,64.800,64.488,56.505,1.174,68.446,8.009,137.524,179.592
