batch_n,trial,total_us,per_wr_ns
100,31,1.152,11.52
100,32,1.392,13.92
100,33,1.442,14.42
100,34,3.165,31.65
100,35,1.242,12.42
100,36,1.333,13.33
100,37,1.343,13.43
100,38,1.152,11.52
100,39,2.996,29.96
100,40,1.383,13.83
100,41,1.353,13.53
100,42,1.643,16.43
100,43,1.412,14.12
100,44,3.497,34.97
100,45,1.433,14.33
100,46,1.433,14.33
100,47,1.563,15.63
100,48,1.383,13.83
100,49,3.527,35.27
100,50,1.754,17.54
100,51,1.362,13.62
100,52,1.813,18.13
100,53,1.252,12.52
100,54,2.956,29.56
100,55,1.282,12.82
100,56,1.082,10.82
100,57,1.062,10.62
100,58,1.352,13.52
100,59,5.27,52.7
100,60,1.192,11.92
100,61,1.072,10.72
100,62,1.062,10.62
100,63,1.313,13.13
100,64,1.062,10.62
100,65,2.876,28.76
100,66,1.192,11.92
100,67,1.082,10.82
100,68,1.313,13.13
100,69,1.072,10.72
100,70,2.826,28.26
100,71,1.132,11.32
100,72,1.072,10.72
100,73,1.152,11.52
100,74,1.062,10.62
100,75,2.775,27.75
100,76,1.162,11.62
100,77,1.122,11.22
100,78,1.232,12.32
100,79,1.162,11.62
100,80,2.795,27.95
100,81,1.152,11.52
100,82,1.052,10.52
100,83,1.102,11.02
100,84,1.073,10.73
100,85,2.785,27.85
100,86,1.153,11.53
100,87,1.072,10.72
100,88,1.072,10.72
100,89,1.072,10.72
100,90,2.795,27.95
100,91,1.133,11.33
100,92,1.052,10.52
100,93,1.062,10.62
100,94,1.092,10.92
100,95,2.795,27.95
100,96,1.092,10.92
100,97,1.252,12.52
100,98,1.072,10.72
100,99,1.092,10.92
1000,0,12.855,12.855
1000,1,13.084,13.084
1000,2,9.969,9.969
1000,3,12.494,12.494
1000,4,10.349,10.349
