loss_pct,rounds,mean_ghost_ratio,mean_raw_rms,mean_masked_rms,rms_ratio,p50_raw_rms,p99_raw_rms,p50_masked_rms,p99_masked_rms
0.00,100,0.000000,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.00,100,0.010000,1.306669e-01,9.231295e-02,0.706475,1.263467e-01,2.338409e-01,8.919641e-02,1.656277e-01
5.00,100,0.049805,3.127207e-01,2.210673e-01,0.706916,3.073843e-01,4.410849e-01,2.173502e-01,3.129785e-01
