loss_pct,rounds,mean_ghost_ratio,mean_raw_rms,mean_masked_rms,rms_ratio,p50_raw_rms,p99_raw_rms,p50_masked_rms,p99_masked_rms
0.00,200,0.000000,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.00,200,0.010391,1.343127e-01,9.490170e-02,0.706573,1.258408e-01,2.352259e-01,8.898120e-02,1.661829e-01
5.00,200,0.050605,3.147126e-01,2.225962e-01,0.707300,3.186041e-01,4.236170e-01,2.251226e-01,2.996961e-01
