step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2597,3,44695848,24.584,3.519,5065.918,5003.451,5057.498,1.681,68.546,6.922,5139.666,5180.314
1,0,2729,2599,3,44695848,23.358,2.994,5241.651,5241.329,5233.801,1.292,68.766,8.292,5314.706,5355.503
2,0,2729,2602,3,44695848,2.590,3.144,5412.601,5412.287,5404.835,1.402,68.640,9.076,5485.789,5506.512
3,0,2729,2605,3,44695848,23.629,2.995,5304.206,5303.861,5298.282,1.542,68.461,9.181,5377.207,5419.701
4,0,2729,2589,3,44695848,2.613,3.106,5579.210,5578.897,5571.535,1.646,46.198,2.753,5630.163,5640.605
5,0,2729,2608,3,44695848,24.534,3.031,5285.746,5285.446,5277.761,1.428,68.648,8.318,5358.855,5401.043
6,0,2729,2584,3,44695848,23.907,3.099,5343.166,5342.821,5335.241,1.493,68.555,9.190,5416.315,5459.173
7,0,2729,2599,3,44695848,2.621,2.977,5235.331,5234.966,5227.281,1.655,68.453,8.921,5308.417,5329.658
8,0,2729,2588,3,44695848,23.622,3.023,5179.650,5179.324,5171.845,1.334,68.357,9.261,5252.366,5294.878
9,0,2729,2610,3,44695848,24.116,3.103,5095.439,5095.079,5087.537,1.789,68.677,8.280,5169.009,5211.235
10,0,2729,2576,3,44695848,2.629,3.098,5464.447,5464.065,5456.550,1.556,68.002,8.748,5537.107,5558.043
11,0,2729,2597,3,44695848,2.602,3.022,5548.425,5548.047,5540.627,1.779,44.601,2.755,5597.831,5608.130
12,0,2729,2600,3,44695848,23.713,3.059,5387.222,5386.876,5379.283,1.348,68.914,7.998,5460.545,5501.628
13,0,2729,2581,3,44695848,24.536,3.035,5323.625,5323.315,5315.773,1.541,68.071,9.222,5396.275,5439.854
14,0,2729,2600,3,44695848,2.598,3.116,5406.881,5406.548,5399.203,1.305,45.898,2.720,5457.202,5467.680
15,0,2729,2582,3,44695848,2.626,3.031,5319.120,5318.797,5311.072,1.499,69.387,9.277,5393.040,5414.551
16,0,2729,2581,3,44695848,2.629,3.154,5440.743,5440.373,5432.711,1.742,46.413,3.146,5492.053,5503.064
17,0,2729,2586,3,44695848,2.872,3.244,5668.369,5668.079,5660.443,1.316,47.460,2.999,5720.390,5731.437
18,0,2729,2606,3,44695848,23.604,3.101,5353.177,5352.835,5345.365,1.589,70.236,8.080,5428.105,5469.109
19,0,2729,2596,3,44695848,2.640,3.121,5450.380,5450.015,5444.874,1.362,47.176,3.090,5502.042,5512.883
20,0,2729,2591,3,44695848,2.635,3.152,5149.857,5149.499,5141.779,1.438,70.652,8.789,5225.102,5246.188
21,0,2729,2601,3,44695848,2.607,2.999,5066.212,5002.833,5058.199,1.630,70.814,6.640,5141.657,5160.517
22,0,2729,2606,3,44695848,2.640,3.121,5593.046,5592.685,5585.287,1.359,70.074,8.527,5667.603,5688.174
23,0,2729,2585,3,44695848,2.860,3.297,5667.121,5666.772,5659.186,1.313,70.037,7.807,5741.770,5761.791
24,0,2729,2568,3,44695848,2.642,3.069,5457.716,5457.367,5449.955,1.668,70.100,8.965,5532.556,5553.504
25,0,2729,2579,3,44695848,2.630,3.045,5657.611,5657.262,5649.999,1.610,45.937,3.175,5708.204,5719.155
26,0,2729,2594,3,44695848,24.537,3.287,5477.080,5476.757,5469.423,1.303,70.761,8.547,5552.432,5595.079
27,0,2729,2602,3,44695848,24.481,3.348,5525.848,5525.495,5517.985,1.460,70.466,8.827,5601.125,5644.120
28,0,2729,2567,3,44695848,25.203,3.808,5337.626,5337.298,5329.974,1.468,70.576,8.355,5413.480,5456.571
29,0,2729,2582,3,44695848,2.620,3.063,5649.130,5648.796,5641.278,1.671,70.875,8.781,5724.741,5745.742
30,0,2729,2577,3,44695848,23.752,3.040,5239.497,5239.142,5231.372,1.748,68.527,9.220,5312.814,5355.461
31,0,2729,2594,3,44695848,2.632,3.027,5171.005,5170.639,5162.953,1.655,68.799,8.892,5244.488,5265.913
32,0,2729,2586,3,44695848,2.602,3.068,5363.470,5363.131,5357.992,1.316,68.718,8.232,5436.573,5456.746
33,0,2729,2590,3,44695848,2.599,3.059,5718.236,5717.879,5710.163,1.320,45.586,2.750,5768.202,5778.561
34,0,2729,2615,3,44695848,2.592,3.089,5493.143,5492.769,5486.643,1.313,69.382,9.055,5566.928,5588.507
35,0,2729,2572,3,44695848,2.603,3.048,5726.562,5726.250,5718.574,1.607,45.371,2.739,5776.591,5787.164
36,0,2729,2580,3,44695848,2.597,3.303,5378.221,5377.868,5370.498,1.657,46.270,2.799,5429.454,5439.980
37,0,2729,2598,3,44695848,2.640,3.090,5566.951,5566.588,5559.029,1.393,68.506,8.958,5639.943,5661.107
