step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2606,3,44695848,24.779,3.218,5077.818,5077.395,5068.970,1.721,69.043,8.224,5151.802,5194.520
1,0,2729,2605,3,44695848,23.649,3.018,5063.854,5002.724,5056.136,1.441,69.128,6.927,5137.445,5177.199
2,0,2729,2600,3,44695848,2.706,3.249,5096.684,5096.390,5088.444,1.488,69.414,8.451,5170.838,5191.425
3,0,2729,2588,3,44695848,23.732,3.025,5086.690,5086.339,5078.676,1.489,68.092,7.837,5159.299,5200.054
4,0,2729,2594,3,44695848,23.321,3.122,5065.613,5001.889,5057.402,1.503,68.093,6.864,5138.333,5177.606
5,0,2729,2605,3,44695848,24.480,3.040,5129.061,5128.705,5120.917,1.322,70.225,8.168,5203.650,5245.628
6,0,2729,2600,3,44695848,2.612,3.131,5119.080,5118.765,5111.055,1.586,69.298,8.255,5193.097,5213.797
7,0,2729,2604,3,44695848,23.579,3.031,5179.136,5178.788,5171.076,1.656,68.746,8.432,5252.572,5294.224
8,0,2729,2604,3,44695848,23.404,3.060,5350.200,5349.797,5343.764,1.360,67.403,7.860,5422.025,5462.942
9,0,2729,2593,3,44695848,2.643,3.074,5064.242,5002.667,5056.400,1.745,69.845,6.932,5138.909,5158.313
10,0,2729,2598,3,44695848,23.316,3.090,5063.967,5002.803,5056.051,1.471,68.688,6.939,5137.219,5176.662
11,0,2729,2597,3,44695848,23.291,3.025,5065.462,5001.893,5057.337,1.529,67.890,6.923,5137.908,5177.310
12,0,2729,2580,3,44695848,2.604,3.131,5149.248,5148.900,5141.051,1.679,48.734,2.724,5202.795,5213.210
13,0,2729,2598,3,44695848,23.329,2.994,5062.158,5003.232,5056.609,1.663,69.387,6.921,5136.204,5176.279
14,0,2729,2599,3,44695848,2.631,3.161,5061.948,5002.800,5056.444,1.411,68.366,6.671,5134.889,5153.743
15,0,2729,2602,3,44695848,2.701,3.104,5088.795,5088.436,5080.995,1.524,69.246,8.195,5162.671,5183.207
16,0,2729,2610,3,44695848,2.633,3.129,5062.120,5002.802,5056.632,2.252,69.998,6.973,5137.502,5157.553
17,0,2729,2601,3,44695848,23.827,3.025,5064.631,5001.931,5056.487,1.477,68.088,6.622,5137.223,5177.010
18,0,2729,2588,3,44695848,2.584,3.079,5161.309,5160.946,5153.438,1.419,19.160,2.890,5184.970,5195.555
19,0,2729,2586,3,44695848,2.686,3.007,5064.485,5002.861,5056.491,1.688,68.842,6.687,5138.024,5156.931
20,0,2729,2580,3,44695848,2.591,3.074,5164.092,5163.736,5156.127,1.732,18.270,2.863,5187.169,5197.651
21,0,2729,2583,3,44695848,2.616,3.133,5089.588,5089.245,5081.602,2.230,68.839,6.924,5163.792,5182.993
22,0,2729,2595,3,44695848,24.434,3.414,5064.651,5001.980,5056.568,1.816,67.359,6.600,5137.241,5177.427
23,0,2729,2583,3,44695848,2.612,3.013,5064.846,5003.016,5056.794,1.885,69.589,6.681,5139.336,5158.359
24,0,2729,2600,3,44695848,24.400,3.129,5062.338,5004.160,5056.755,1.642,66.929,6.694,5134.039,5174.222
25,0,2729,2584,3,44695848,23.241,3.020,5064.196,5002.812,5056.475,1.684,68.334,6.901,5137.235,5176.559
26,0,2729,2567,3,44695848,24.834,3.143,5126.442,5126.072,5118.484,1.506,70.465,8.311,5201.559,5244.186
27,0,2729,2579,3,44695848,24.309,3.019,5087.207,5086.899,5079.212,1.608,68.295,7.935,5160.131,5201.879
28,0,2729,2596,3,44695848,23.886,3.063,5064.282,5002.673,5056.405,1.367,71.016,6.956,5139.730,5179.770
29,0,2729,2579,3,44695848,24.089,3.380,5061.541,5002.882,5056.045,1.713,68.152,6.741,5134.788,5174.873
30,0,2729,2606,3,44695848,24.198,3.425,5065.053,5001.932,5056.717,1.670,70.616,6.831,5140.767,5181.124
31,0,2729,2601,3,44695848,24.254,3.341,5064.617,5001.964,5056.672,1.617,68.394,6.850,5137.973,5178.364
32,0,2729,2574,3,44695848,23.379,3.123,5064.188,5002.718,5056.314,1.702,70.996,6.664,5140.011,5179.144
33,0,2729,2578,3,44695848,23.594,3.003,5160.757,5160.409,5152.785,1.446,68.323,6.875,5233.532,5273.419
34,0,2729,2601,3,44695848,23.641,3.074,5231.355,5231.033,5223.138,1.330,70.157,8.486,5305.917,5347.787
35,0,2729,2600,3,44695848,24.213,3.034,5273.026,5272.712,5265.240,1.563,68.621,8.230,5346.247,5388.680
36,0,2729,2588,3,44695848,23.274,3.083,5162.581,5162.245,5154.708,1.489,70.381,6.819,5237.536,5277.101
37,0,2729,2593,3,44695848,23.510,3.044,5065.067,5001.903,5056.986,1.475,68.232,6.978,5137.820,5177.559
38,0,2729,2596,3,44695848,25.349,3.100,5096.031,5095.674,5088.204,1.501,70.521,6.825,5171.155,5212.745
39,0,2729,2611,3,44695848,24.303,3.366,5063.116,5001.831,5057.102,1.361,68.585,7.045,5136.430,5177.384
40,0,2729,2584,3,44695848,24.278,3.423,5065.042,5002.831,5057.177,1.476,70.580,6.814,5140.522,5180.823
41,0,2729,2581,3,44695848,23.395,3.043,5064.614,5002.944,5056.577,1.411,67.749,6.617,5136.820,5175.898
42,0,2729,2599,3,44695848,23.925,3.085,5064.513,5002.785,5056.565,1.414,70.749,6.965,5139.764,5179.855
43,0,2729,2601,3,44695848,24.398,3.373,5065.303,5001.955,5057.051,1.619,68.240,6.885,5138.538,5179.157
44,0,2729,2589,3,44695848,24.362,3.441,5062.053,5003.192,5056.535,1.688,70.713,6.924,5137.899,5178.959
