step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2729,1,44695848,25.614,3.202,72.928,72.521,66.514,0.072,68.836,8.295,145.039,188.645
1,0,2729,2729,1,44695848,23.385,2.814,249.436,249.105,240.959,0.058,70.002,8.057,322.312,363.435
2,0,2729,2729,1,44695848,24.305,2.810,140.697,140.335,132.486,0.044,68.346,8.311,211.899,253.725
3,0,2729,2729,1,44695848,23.788,2.778,191.703,191.365,183.550,0.050,67.920,6.718,262.453,302.234
4,0,2729,2729,1,44695848,2.627,2.845,491.303,490.987,482.882,0.054,44.965,2.716,539.169,549.436
5,0,2729,2729,1,44695848,24.035,3.084,64.637,7.921,56.547,0.044,69.562,6.921,137.329,178.012
6,0,2729,2729,1,44695848,24.070,3.082,65.706,8.173,57.404,0.043,68.892,6.954,137.725,178.527
7,0,2729,2729,1,44695848,23.572,2.788,194.498,194.140,186.434,0.053,68.346,9.261,265.688,309.027
8,0,2729,2729,1,44695848,10.427,2.684,185.005,184.653,176.917,0.056,70.477,8.071,258.225,286.848
9,0,2729,2729,1,44695848,2.616,2.870,217.624,217.262,209.696,0.043,68.638,6.753,289.178,308.138
10,0,2729,2729,1,44695848,2.642,2.855,169.811,169.528,161.518,0.054,69.568,8.219,242.292,262.919
11,0,2729,2729,1,44695848,2.645,2.812,444.827,444.516,436.471,0.052,69.609,8.326,517.302,538.306
12,0,2729,2729,1,44695848,2.612,2.796,409.733,409.384,401.797,0.055,68.842,6.794,481.429,500.490
13,0,2729,2729,1,44695848,6.109,2.797,256.596,256.246,248.464,0.053,69.025,8.609,328.473,354.206
14,0,2729,2729,1,44695848,24.636,2.789,99.413,99.065,91.387,0.053,69.361,8.412,171.618,214.274
15,0,2729,2729,1,44695848,2.654,2.870,65.989,65.648,60.545,0.046,45.539,2.755,114.445,125.102
16,0,2729,2729,1,44695848,2.581,2.721,544.081,543.709,535.865,0.057,18.293,2.805,565.155,575.614
17,0,2729,2729,1,44695848,2.612,2.827,336.047,335.681,328.150,0.058,18.396,2.759,357.330,367.744
18,0,2729,2729,1,44695848,2.617,2.868,485.009,484.702,476.714,0.049,18.524,2.784,506.453,516.917
19,0,2729,2729,1,44695848,2.630,2.811,670.765,670.445,662.551,0.056,45.213,2.789,718.847,728.950
20,0,2729,2729,1,44695848,2.636,2.825,437.589,437.204,429.549,0.066,19.463,2.798,459.947,470.213
21,0,2729,2729,1,44695848,2.632,2.820,63.895,7.648,55.897,0.053,67.853,6.742,134.623,153.596
22,0,2729,2729,1,44695848,24.277,2.798,64.676,7.809,56.680,0.052,69.794,6.982,137.323,178.228
23,0,2729,2729,1,44695848,24.617,2.788,124.921,124.560,116.621,0.053,70.160,8.417,197.925,240.532
24,0,2729,2729,1,44695848,2.601,2.829,64.505,8.006,56.294,0.051,70.010,6.938,137.397,157.128
25,0,2729,2729,1,44695848,2.614,2.846,220.249,219.900,211.937,0.053,45.211,2.732,268.363,278.931
26,0,2729,2729,1,44695848,2.642,2.716,65.271,64.994,57.761,0.043,69.663,7.013,137.694,158.258
27,0,2729,2729,1,44695848,23.373,2.763,241.068,240.767,233.071,0.045,69.773,8.398,313.651,355.244
28,0,2729,2729,1,44695848,2.636,2.824,322.289,321.939,314.286,0.057,70.287,8.362,395.460,416.808
29,0,2729,2729,1,44695848,24.113,3.121,64.853,7.964,56.554,0.044,69.859,6.957,137.879,178.584
30,0,2729,2729,1,44695848,2.617,2.842,203.707,203.346,195.370,0.054,45.441,2.792,252.047,262.794
31,0,2729,2729,1,44695848,2.662,2.837,91.997,91.714,83.635,0.043,68.696,6.836,163.576,182.970
32,0,2729,2729,1,44695848,24.506,3.107,65.096,7.914,56.994,0.054,69.331,6.979,137.591,179.103
33,0,2729,2729,1,44695848,24.425,3.087,66.172,65.848,58.424,0.045,69.911,6.965,139.217,180.317
34,0,2729,2729,1,44695848,2.604,2.850,64.969,7.940,56.896,0.042,70.078,6.948,137.941,157.775
35,0,2729,2729,1,44695848,24.003,2.724,64.099,7.891,56.035,0.052,69.273,6.992,136.152,176.913
36,0,2729,2729,1,44695848,23.722,2.756,64.582,7.783,56.640,0.044,69.721,7.024,137.105,177.624
37,0,2729,2729,1,44695848,2.612,2.851,64.610,7.764,56.698,0.053,70.748,6.974,138.264,158.294
38,0,2729,2729,1,44695848,2.596,2.836,232.934,232.627,224.471,0.051,70.300,8.390,306.124,327.544
39,0,2729,2729,1,44695848,2.662,2.847,93.409,93.071,85.269,0.044,69.269,6.802,165.572,184.767
40,0,2729,2729,1,44695848,2.944,3.044,64.569,7.954,56.434,0.052,70.709,7.362,138.375,159.755
41,0,2729,2729,1,44695848,2.627,2.865,64.165,63.842,58.672,0.039,69.418,6.972,136.489,156.621
