step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
55,0,2729,2729,1,44695848,2.623,2.729,355.387,355.071,347.030,0.058,69.833,8.267,428.010,448.769
56,0,2729,2729,1,44695848,24.817,2.794,446.529,446.218,438.455,0.056,68.316,8.311,517.697,560.980
57,0,2729,2729,1,44695848,2.633,2.773,378.798,378.443,370.703,0.044,45.633,2.810,427.251,437.965
58,0,2729,2729,1,44695848,2.659,2.757,342.341,341.985,334.234,0.057,68.702,6.808,413.859,433.269
59,0,2729,2729,1,44695848,24.058,2.759,339.346,339.022,330.906,0.055,69.276,8.423,411.438,453.414
60,0,2729,2729,1,44695848,23.659,2.803,64.438,7.750,56.503,0.054,69.220,6.945,136.519,177.045
61,0,2729,2729,1,44695848,24.402,3.115,64.561,7.916,56.505,0.043,68.920,6.653,136.642,176.983
62,0,2729,2729,1,44695848,24.461,2.804,95.338,95.037,87.612,0.043,69.202,8.313,167.390,209.867
63,0,2729,2729,1,44695848,2.620,2.734,174.744,174.476,168.466,0.043,17.870,2.743,195.392,205.950
64,0,2729,2729,1,44695848,2.618,2.761,100.189,99.921,92.211,0.042,69.475,8.327,172.469,193.840
65,0,2729,2729,1,44695848,23.832,2.740,185.736,185.373,177.372,0.045,68.232,8.580,256.756,298.721
66,0,2729,2729,1,44695848,23.606,2.748,330.557,330.232,322.463,0.057,69.270,8.371,402.635,444.341
67,0,2729,2729,1,44695848,23.539,2.767,64.463,7.992,56.292,0.043,70.947,6.925,138.221,178.509
68,0,2729,2729,1,44695848,2.626,3.137,63.938,8.117,55.704,0.042,67.785,6.727,134.904,154.092
69,0,2729,2729,1,44695848,24.729,3.073,64.980,7.969,56.861,0.054,66.972,6.652,135.080,175.593
70,0,2729,2729,1,44695848,2.647,2.702,70.984,70.653,62.671,0.043,69.264,8.285,142.995,164.413
71,0,2729,2729,1,44695848,24.854,3.121,65.913,8.214,57.340,0.052,69.165,6.930,138.253,180.209
72,0,2729,2729,1,44695848,24.346,3.098,66.173,8.124,57.905,0.045,69.324,6.908,138.642,179.986
73,0,2729,2729,1,44695848,2.627,2.808,64.398,7.883,56.371,0.043,70.333,6.920,137.584,157.706
74,0,2729,2729,1,44695848,24.764,3.110,65.784,8.225,57.394,0.043,67.117,6.624,136.055,176.533
75,0,2729,2729,1,44695848,23.728,2.775,64.722,7.891,56.475,0.043,67.426,6.636,134.968,174.503
76,0,2729,2729,1,44695848,24.149,2.782,63.936,7.945,55.661,0.053,69.043,6.693,135.816,176.325
77,0,2729,2729,1,44695848,24.551,3.114,64.930,7.919,56.656,0.053,69.362,6.987,137.462,178.808
78,0,2729,2729,1,44695848,23.691,2.780,64.256,63.984,57.895,0.042,71.151,6.916,138.233,178.832
79,0,2729,2729,1,44695848,24.479,3.103,65.405,65.118,57.310,0.049,69.146,6.932,137.705,179.031
80,0,2729,2729,1,44695848,23.647,2.805,65.181,9.008,56.809,0.045,71.413,6.960,139.446,179.961
81,0,2729,2729,1,44695848,23.910,3.102,64.558,7.795,56.412,0.053,68.924,7.010,136.639,177.369
82,0,2729,2729,1,44695848,23.506,2.742,63.623,7.517,55.769,0.042,71.170,6.944,137.579,177.453
83,0,2729,2729,1,44695848,2.619,2.742,154.638,154.352,146.325,0.040,68.575,8.358,225.997,247.376
84,0,2729,2729,1,44695848,2.617,2.768,652.467,652.128,646.886,0.057,45.358,2.811,700.652,711.322
85,0,2729,2729,1,44695848,2.627,2.752,494.486,494.142,488.911,0.056,69.295,8.411,566.591,587.640
86,0,2729,2729,1,44695848,2.609,2.795,275.030,274.708,266.997,0.056,69.466,8.432,347.349,368.222
87,0,2729,2729,1,44695848,2.625,2.710,338.779,309.145,330.540,0.057,68.728,6.758,410.277,429.550
88,0,2729,2729,1,44695848,23.868,2.771,229.436,229.101,221.369,0.043,68.953,8.418,301.205,343.124
89,0,2729,2729,1,44695848,24.015,3.141,64.683,7.820,56.504,0.044,68.611,6.892,136.482,177.774
90,0,2729,2729,1,44695848,24.449,2.827,102.903,102.583,94.544,0.039,69.762,8.580,175.533,219.517
91,0,2729,2729,1,44695848,23.720,3.093,65.428,65.143,58.752,0.042,69.000,6.981,137.564,178.037
92,0,2729,2729,1,44695848,24.278,2.792,100.552,100.249,92.214,0.045,70.637,7.746,174.029,216.843
93,0,2729,2729,1,44695848,23.616,2.809,64.544,8.182,56.223,0.043,68.855,7.010,136.253,176.671
94,0,2729,2729,1,44695848,23.658,2.800,64.383,7.795,56.435,0.044,71.071,6.933,138.301,178.894
95,0,2729,2729,1,44695848,24.038,2.775,63.904,7.704,56.065,0.042,69.447,6.938,136.170,176.894
96,0,2729,2729,1,44695848,23.701,2.768,64.564,7.758,56.660,0.054,68.955,6.774,136.344,176.035
97,0,2729,2729,1,44695848,23.711,2.762,65.053,8.010,56.660,0.052,66.879,6.681,134.748,174.426
98,0,2729,2729,1,44695848,23.798,2.778,64.967,64.622,58.554,0.053,68.912,6.706,136.712,176.508
99,0,2729,2729,1,44695848,2.614,2.736,64.719,7.777,56.749,0.058,70.347,6.936,137.862,158.063
100,0,2729,2729,1,44695848,23.662,2.766,250.459,250.132,242.255,0.058,68.985,8.517,322.270,364.330
101,0,2729,2729,1,44695848,24.510,3.131,64.653,7.683,56.617,0.045,69.327,6.971,137.158,178.563
102,0,2729,2729,1,44695848,24.200,2.791,87.971,87.686,82.455,0.041,70.854,8.139,161.659,204.482
103,0,2729,2729,1,44695848,23.902,2.761,65.324,65.009,57.014,0.051,69.163,6.975,137.301,177.993
104,0,2729,2729,1,44695848,24.305,2.852,65.345,7.930,57.097,0.042,70.881,6.681,139.122,179.797
105,0,2729,2729,1,44695848,23.480,2.769,63.526,7.863,55.520,0.050,69.299,6.948,135.646,175.781
106,0,2729,2729,1,44695848,23.382,2.764,199.260,199.000,190.924,0.041,70.277,7.920,272.343,314.748
107,0,2729,2729,1,44695848,24.274,2.793,128.074,127.753,119.943,0.043,68.955,8.545,199.867,242.409
108,0,2729,2729,1,44695848,23.547,2.780,325.131,324.789,316.901,0.056,70.299,7.871,398.268,440.815
109,0,2729,2729,1,44695848,24.063,2.772,64.571,64.292,56.934,0.041,68.485,6.899,135.872,177.374
110,0,2729,2729,1,44695848,2.605,2.697,177.133,176.788,168.781,0.052,69.255,8.373,249.139,270.063
111,0,2729,2729,1,44695848,23.351,2.763,251.617,251.249,243.655,0.056,68.802,8.516,323.241,365.249
112,0,2729,2729,1,44695848,24.643,2.777,311.406,311.044,303.535,0.059,69.365,8.521,383.608,426.429
113,0,2729,2729,1,44695848,25.087,2.876,129.832,129.467,124.302,0.041,70.578,8.237,203.329,246.468
114,0,2729,2729,1,44695848,23.731,3.110,65.411,8.002,57.013,0.042,69.174,6.951,137.739,178.150
115,0,2729,2729,1,44695848,24.074,2.817,66.226,65.932,60.080,0.044,70.840,8.178,139.927,182.615
116,0,2729,2729,1,44695848,23.355,2.748,233.667,233.366,228.124,0.040,68.906,8.506,305.362,347.146
117,0,2729,2729,1,44695848,23.685,2.803,62.949,62.621,57.476,0.040,71.215,6.939,137.009,177.612
118,0,2729,2729,1,44695848,24.012,3.090,64.726,7.919,56.451,0.051,68.943,6.916,136.812,177.897
119,0,2729,2729,1,44695848,23.326,2.758,144.576,144.215,136.235,0.039,69.941,7.160,217.317,258.574
120,0,2729,2729,1,44695848,23.902,2.755,65.061,7.790,56.907,0.043,69.157,6.952,137.017,177.747
121,0,2729,2729,1,44695848,2.647,2.792,64.415,7.759,56.290,0.052,70.220,6.957,137.481,157.484
122,0,2729,2729,1,44695848,24.888,3.131,64.532,7.771,56.606,0.046,69.128,6.964,136.840,178.571
123,0,2729,2729,1,44695848,23.645,2.756,64.340,8.084,56.092,0.044,68.887,6.992,136.029,176.680
124,0,2729,2729,1,44695848,23.398,2.777,63.473,63.212,57.539,0.041,70.888,6.929,137.180,177.163
125,0,2729,2729,1,44695848,23.654,2.771,64.176,8.004,56.024,0.055,67.138,6.898,134.142,173.873
126,0,2729,2729,1,44695848,24.649,3.100,64.831,7.983,56.706,0.052,70.738,6.930,138.723,180.204
127,0,2729,2729,1,44695848,23.619,2.787,64.730,8.116,56.267,0.043,67.231,6.642,134.792,174.235
128,0,2729,2729,1,44695848,2.617,2.730,137.940,137.611,129.898,0.040,46.229,2.766,186.941,197.731
129,0,2729,2729,1,44695848,23.747,2.791,65.288,8.158,56.773,0.057,67.745,6.770,135.883,175.729
130,0,2729,2729,1,44695848,23.607,3.123,145.288,145.015,137.259,0.045,71.047,6.951,219.506,261.091
131,0,2729,2729,1,44695848,2.650,2.807,298.809,298.468,290.814,0.059,45.602,2.739,347.279,357.919
132,0,2729,2729,1,44695848,24.308,2.811,64.247,7.851,56.065,0.042,69.814,6.926,136.917,178.166
133,0,2729,2729,1,44695848,23.733,2.788,64.331,8.017,56.160,0.044,68.500,6.666,135.665,175.326
134,0,2729,2729,1,44695848,24.354,3.130,65.525,65.204,60.057,0.044,67.895,6.660,136.596,176.968
135,0,2729,2729,1,44695848,23.745,2.779,64.845,64.579,56.591,0.044,69.015,6.658,136.685,176.923
136,0,2729,2729,1,44695848,24.828,2.814,94.127,93.844,85.924,0.047,68.493,6.745,165.484,206.542
137,0,2729,2729,1,44695848,24.510,3.116,65.266,7.819,57.091,0.053,69.250,6.663,137.688,178.211
138,0,2729,2729,1,44695848,24.367,3.124,65.025,7.997,56.893,0.043,68.885,6.944,137.078,178.265
139,0,2729,2729,1,44695848,23.630,2.796,65.550,8.239,59.114,0.055,68.836,6.700,137.240,176.717
140,0,2729,2729,1,44695848,23.494,2.770,63.771,63.469,57.594,0.054,69.035,6.942,135.632,175.813
141,0,2729,2729,1,44695848,2.594,2.690,64.202,8.018,58.003,0.041,69.782,6.944,136.717,156.712
142,0,2729,2729,1,44695848,23.610,2.791,64.788,7.842,56.580,0.051,67.791,6.947,135.423,175.674
143,0,2729,2729,1,44695848,2.637,2.712,65.045,7.813,57.094,0.043,69.138,6.944,136.940,156.734
144,0,2729,2729,1,44695848,2.632,2.756,63.534,63.185,58.052,0.042,67.239,6.889,133.573,152.577
145,0,2729,2729,1,44695848,2.615,2.698,64.123,8.056,55.874,0.051,69.486,6.900,136.360,156.073
146,0,2729,2729,1,44695848,24.108,2.804,64.225,8.097,56.007,0.042,67.945,6.967,135.019,175.648
147,0,2729,2729,1,44695848,23.992,2.790,63.562,63.225,57.455,0.039,68.923,6.926,135.316,175.799
148,0,2729,2729,1,44695848,2.969,3.008,64.242,8.020,56.039,0.043,70.411,6.981,137.707,157.940
149,0,2729,2729,1,44695848,2.959,3.017,69.411,11.939,57.281,0.040,68.759,6.982,141.229,161.485
150,0,2729,2729,1,44695848,24.540,3.092,65.270,7.816,57.076,0.056,68.894,6.698,137.314,177.823
151,0,2729,2729,1,44695848,24.150,2.779,64.183,8.017,57.971,0.044,69.163,6.949,136.170,176.908
152,0,2729,2729,1,44695848,2.616,2.775,64.288,7.928,56.024,0.043,68.247,6.884,135.355,154.796
153,0,2729,2729,1,44695848,24.822,3.137,65.982,65.686,58.644,0.043,67.007,6.669,136.172,176.924
154,0,2729,2729,1,44695848,2.951,2.976,63.683,7.527,55.871,0.051,68.262,6.739,134.975,154.550
155,0,2729,2729,1,44695848,2.641,2.753,65.274,7.989,56.913,0.054,69.980,6.637,138.064,157.390
156,0,2729,2729,1,44695848,2.657,2.831,72.662,72.323,64.690,0.054,18.804,2.711,94.353,104.619
157,0,2729,2729,1,44695848,24.160,2.757,63.645,34.139,58.214,0.054,67.910,6.778,134.368,174.666
158,0,2729,2729,1,44695848,2.617,2.679,64.475,64.208,56.770,0.044,69.919,6.953,137.118,157.376
159,0,2729,2729,1,44695848,2.622,2.728,64.551,7.947,56.275,0.045,70.205,6.967,137.530,157.544
160,0,2729,2729,1,44695848,23.811,2.788,65.847,65.583,57.748,0.042,71.310,6.978,139.989,180.313
161,0,2729,2729,1,44695848,2.612,2.773,64.751,7.837,56.548,0.054,69.951,6.660,137.530,156.783
162,0,2729,2729,1,44695848,24.266,2.797,63.946,63.634,57.752,0.052,69.689,6.975,136.486,177.510
163,0,2729,2729,1,44695848,24.476,3.100,65.266,8.273,56.805,0.042,69.384,7.011,137.794,179.167
164,0,2729,2729,1,44695848,2.636,2.702,64.571,34.752,59.144,0.043,68.334,6.866,135.652,155.287
165,0,2729,2729,1,44695848,24.546,3.079,65.559,7.912,57.284,0.042,66.860,6.693,135.543,176.032
166,0,2729,2729,1,44695848,24.407,3.087,64.600,8.087,56.374,0.043,66.435,6.631,134.167,174.642
167,0,2729,2729,1,44695848,23.736,2.790,64.201,7.784,56.221,0.053,68.933,6.644,135.980,175.636
168,0,2729,2729,1,44695848,24.530,3.106,66.158,8.091,57.693,0.054,68.992,6.919,138.312,179.828
169,0,2729,2729,1,44695848,24.230,3.129,64.863,7.999,56.716,0.044,70.077,6.744,138.115,178.596
170,0,2729,2729,1,44695848,24.576,3.125,64.730,7.913,56.671,0.046,67.240,6.684,135.144,175.678
171,0,2729,2729,1,44695848,24.337,3.106,64.431,7.633,56.679,0.044,69.886,6.657,137.471,177.895
172,0,2729,2729,1,44695848,2.957,3.007,64.292,7.926,56.055,0.044,68.458,6.734,135.803,155.678
173,0,2729,2729,1,44695848,23.743,2.749,65.306,7.982,56.963,0.054,68.924,6.918,137.034,177.453
174,0,2729,2729,1,44695848,23.759,2.778,64.301,7.816,56.357,0.054,69.329,6.955,136.464,176.992
175,0,2729,2729,1,44695848,2.656,2.725,65.608,65.314,57.763,0.038,45.844,2.788,114.218,124.983
176,0,2729,2729,1,44695848,2.645,2.733,64.748,8.015,56.376,0.050,68.705,6.744,136.238,155.657
177,0,2729,2729,1,44695848,2.961,2.983,65.005,8.002,56.649,0.043,69.414,7.311,137.446,158.433
178,0,2729,2729,1,44695848,23.708,2.779,64.025,7.563,56.140,0.044,69.569,6.686,136.419,176.057
179,0,2729,2729,1,44695848,24.391,3.125,64.795,7.998,56.456,0.046,67.184,6.743,135.153,176.029
180,0,2729,2729,1,44695848,23.750,2.775,64.821,7.770,56.866,0.051,68.548,6.676,136.197,175.931
