step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2729,1,44695848,24.816,3.211,85.846,85.131,76.854,0.067,71.212,8.894,160.338,204.155
1,0,2729,2729,1,44695848,25.155,3.284,131.223,130.935,123.002,0.041,71.792,8.998,206.342,250.172
2,0,2729,2729,1,44695848,3.089,3.160,64.184,7.898,55.950,0.048,71.311,8.103,138.705,160.160
3,0,2729,2729,1,44695848,2.769,2.914,63.715,7.673,55.917,0.052,71.500,7.608,138.183,158.391
4,0,2729,2729,1,44695848,2.815,2.873,64.449,7.828,56.471,0.043,70.134,7.001,137.501,157.603
5,0,2729,2729,1,44695848,23.451,2.910,64.289,63.991,55.881,0.050,68.963,7.066,136.214,176.170
6,0,2729,2729,1,44695848,2.805,2.919,64.594,64.332,56.646,0.042,70.328,7.025,137.885,158.158
7,0,2729,2729,1,44695848,2.775,2.941,167.860,167.545,159.618,0.052,69.708,7.903,240.563,261.575
8,0,2729,2729,1,44695848,2.839,2.879,64.332,7.503,56.490,0.051,68.300,6.755,135.565,154.944
9,0,2729,2729,1,44695848,23.308,2.900,162.503,162.188,154.601,0.038,67.584,6.900,233.027,272.730
10,0,2729,2729,1,44695848,2.780,2.908,670.236,669.899,662.218,0.043,68.930,8.354,742.119,762.872
11,0,2729,2729,1,44695848,2.769,2.920,219.747,219.412,211.560,0.040,15.425,2.988,238.133,248.745
12,0,2729,2729,1,44695848,2.777,2.922,214.309,213.968,206.084,0.051,45.655,3.002,262.939,273.796
13,0,2729,2729,1,44695848,2.822,2.912,64.732,7.799,56.768,0.044,45.013,2.926,112.702,123.129
14,0,2729,2729,1,44695848,3.102,3.165,64.266,7.752,56.161,0.047,70.501,8.845,137.981,160.917
15,0,2729,2729,1,44695848,2.782,2.976,217.234,216.887,208.962,0.037,71.053,9.344,291.303,313.590
16,0,2729,2729,1,44695848,4.021,3.203,643.916,643.563,635.913,0.058,16.354,2.674,663.533,674.970
17,0,2729,2729,1,44695848,2.617,2.867,549.904,549.592,541.736,0.056,45.014,2.777,597.843,608.189
