step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2457,3,44695848,25.214,3.647,66.184,65.796,57.820,1.665,68.646,9.053,140.144,184.034
1,0,2729,2470,3,44695848,23.777,3.136,64.942,7.889,59.468,1.604,68.964,7.086,138.648,179.174
2,0,2729,2464,3,44695848,23.736,3.298,64.059,7.824,56.107,1.626,68.968,7.058,137.953,178.216
3,0,2729,2467,3,44695848,23.778,3.259,62.489,62.215,56.937,1.854,69.513,7.057,137.117,177.513
4,0,2729,2469,3,44695848,2.879,3.233,64.261,7.932,56.181,1.731,67.636,6.798,136.864,155.733
5,0,2729,2459,3,44695848,24.178,3.447,64.052,63.678,57.551,1.626,66.604,6.820,135.731,175.654
6,0,2729,2457,3,44695848,2.893,3.197,73.189,72.919,65.464,1.603,45.660,2.934,123.651,134.541
7,0,2729,2466,3,44695848,2.904,3.136,65.609,7.702,57.555,2.025,68.488,7.912,139.261,159.863
8,0,2729,2457,3,44695848,2.859,3.214,65.815,7.596,58.052,1.749,45.207,2.934,115.987,126.787
9,0,2729,2466,3,44695848,3.030,3.307,64.784,7.537,56.943,1.587,67.633,8.332,137.314,159.026
10,0,2729,2466,3,44695848,24.427,3.464,64.871,7.680,56.827,1.770,70.154,6.949,140.261,181.738
11,0,2729,2470,3,44695848,3.025,3.277,64.043,7.344,56.228,1.580,67.749,8.316,136.650,158.749
12,0,2729,2464,3,44695848,24.276,3.418,64.699,7.502,57.054,1.653,68.988,6.961,138.760,179.769
13,0,2729,2466,3,44695848,3.017,3.314,64.070,7.678,56.089,1.585,70.924,8.964,139.896,162.104
14,0,2729,2464,3,44695848,24.285,3.398,64.351,7.831,56.353,1.630,70.290,6.689,139.671,180.039
15,0,2729,2460,3,44695848,3.012,3.240,63.559,7.348,55.873,1.831,68.956,7.746,137.588,157.989
16,0,2729,2471,3,44695848,24.145,3.438,65.190,7.444,57.386,1.610,71.973,7.919,142.212,184.141
17,0,2729,2468,3,44695848,3.021,3.208,63.756,7.684,55.710,2.006,49.652,2.763,118.625,129.689
18,0,2729,2460,3,44695848,3.016,3.311,64.026,7.670,56.221,1.609,70.946,8.606,139.894,162.078
19,0,2729,2466,3,44695848,2.730,2.997,63.153,62.916,57.459,1.591,47.148,3.429,114.891,126.234
20,0,2729,2460,3,44695848,2.765,3.094,64.405,7.644,56.399,1.643,68.944,6.789,138.088,157.407
21,0,2729,2461,3,44695848,3.026,3.334,63.470,63.145,57.717,1.692,70.779,9.126,139.278,162.056
22,0,2729,2463,3,44695848,24.387,3.429,65.071,7.719,57.215,1.619,71.836,7.649,141.957,183.822
